taxon	file	size_bytes	sha256
Lamellibrachia	myht.out	1925	7d0295c1fe25aede4e04bb0720fe047dcc0ec23af0cc74c24612c6cc51369c41
Lampetra	md.tpr	4219252	655761ad7c25f077be5ed56b78e4fe3b42345473954851a5db72c75ef8d258a2
Lampetra	md.xtc	448924000	6dbbda51d89cb9c766eaab2f5f966b3f48a7a92e6791b0750d577e3fe5943432
Lampetra	myht.fa	74	f32a45ecb055d77cbe58f7b0c4534ce25e78e4d69fda94eb67fe63f410762c13
Lampetra	myht.out	1431	59cc6ae7cde0e71e2d5cbf38d72fc942517c5e512323ed0af193d678cd10121f
Lingula	md.tpr	7988964	abe4b3767b54899a28f19e3f5c44947177aec4f1f9bef506ba9f1b99b1ce1b70
Lingula	md.xtc	1005776608	c1ca0c5df32a31547bbeafdb675427d79150f61e20c1d76b3c762bdf7ddacc54
Lingula	myht.fa	99	547541039adafed7287f7631483783ea41407ae817375bbbd0b26127e00e5c66
Lingula	myht.out	2081	df65183835217e189e056497a44924b6721e2f738741445b3395e1c563881eb6
Lithobius	md.tpr	7502404	1e4cd87f2246238d43cebc84954b4e411ec3e557f9243be85e1058331f9b6598
Lithobius	md.xtc	930627244	775f642c170a6bc82ef51486f57fe4bb228d92a71d8479757ef8663af393bdb1
Lithobius	myht.fa	98	3b024f94f68cc2106ad30d323b77234e8520b1a48bcd9f5a61ebca0a57aee58d
Lithobius	myht.out	1925	ecc2aa71599b4318572752175bfa6520420bf06f0f4c6643ce2b24425e85738f
Magallana	md.tpr	5632540	50a7ec1738b47055e52e48344d7122b3f33a0ed4fa854c318e2471856fe3367b
Magallana	md.xtc	630291216	ee30d621b388efc4a79514508219a3491ce48b126f9565b77fcf392220c64419
Magallana	myht.fa	90	a94aced88ab52ba4494d1994bcc26e2aff3a0a6621a53cf53c35969e4f3ffa75
Magallana	myht.out	1795	a30c5567042992968ca4567a8570500e2722976935c4d870c57fb9088c951a68
Mus	md.tpr	4520012	e9dd5753c2e99c291a47f59d60bb9c9121886d01dcc147fdbde43b59831b8468
Mus	md.xtc	474975488	f18024022d0797cdd7dad8cb83042df058af94fd59b154097a79b6f317488e40
Mus	myht.fa	72	03b4152ae0d701a6c7f24dce4762acac9fb8c273f0187ab3be79b950c1bb93c2
Mus	myht.out	1483	9df647212b985863d9149e79aac5efde046f59b3530f24d8902fcf78a9eb0e59
Myxine	md.tpr	4798288	027743775c04e364237e05ec81b79bca6d248afdf90cf097ef1a4b284b227559
Myxine	md.xtc	529360808	136ebbb69889b97565f7b403c6d9b7ab896483813ae083183f6e23ddaabb4b98
Myxine	myht.fa	80	4cbf57a3daae943f88addfff97b954c734477ebe8677e1f01fd6da102eee3f8b
Myxine	myht.out	1587	817e17a6d3cfb1996d4232fa72f1d2ddcbc58721fa14b2fad8363275c612405a
Naegleria	md.tpr	6084108	5f8ea52d40cad4b187bcceb9710d6de3401e60a55f120ad30f19dd705e1917cf
